gender;age;country;income;number_of_dependents;dietary_requirements
Female;55;Argentina;30251.83;4;Vegan
Female;58;Philippines;35836.69;1;FODMAP
Female;74;Philippines;45240.26;0;Paleo
Male;52;Indonesia;109568.06;3;
Male;45;Belarus;21348.91;1;Fish Allergies
Female;48;Thailand;22271.13;1;Ketogenic
Female;68;Spain;108089.03;1;
Female;44;Pakistan;31999.41;0;Vegan
Female;52;Argentina;135069.65;1;
Male;19;Indonesia;74252.13;3;
Female;85;Cuba;54009.12;1;
Male;40;Indonesia;28949.83;1;
Female;59;Mexico;103674.96;4;Vegetarian
Female;63;Russia;129478.42;3;
Female;77;China;46120.93;2;Nut Allergies
Female;73;Moldova;85397.07;5;
Female;37;Macedonia;124264.01;5;
Male;43;Indonesia;139728.34;0;
Male;55;China;112045.13;3;
Female;28;Indonesia;84873.71;4;
Male;30;Greece;89762.15;1;
Male;65;Indonesia;143263.97;5;
Female;70;North Korea;34971.04;2;Paleo
Male;71;China;31262.73;3;
Polygender;85;Greece;139524.94;3;
Female;24;Canada;98008.49;1;FODMAP
Female;50;Kazakhstan;91600.85;5;Ketogenic
Male;76;Mongolia;146546.21;3;
Female;58;Indonesia;122967.19;1;Vegetarian
Female;19;Indonesia;117360.77;4;Ketogenic
Female;63;Sweden;92590.14;3;Vegetarian
Male;47;Dominican Republic;126535.27;4;Lactose free
Male;28;Bangladesh;43908.66;4;
Male;28;Canada;133157.20;1;Fish Allergies
Male;30;China;76179.82;1;Ketogenic
Female;40;Poland;112754.71;0;
Male;70;Ireland;91943.57;2;
Male;85;Russia;50089.18;5;Gluten free
Male;20;Czech Republic;129448.61;3;FODMAP
Male;39;Indonesia;69631.68;5;Vegetarian
Female;77;Uruguay;24724.30;0;
Female;21;Russia;91350.52;2;
Male;37;Russia;148849.05;4;Paleo
Male;54;Colombia;35967.42;4;FODMAP
Female;44;Philippines;60552.01;1;FODMAP
Agender;59;Uzbekistan;46143.25;1;Ketogenic
Female;28;Indonesia;21734.00;0;
Female;53;Japan;96003.67;5;
Genderfluid;72;China;42536.75;1;Vegetarian
Male;19;China;67401.68;1;Nut Allergies
Male;55;China;144554.38;3;
Female;38;China;127255.97;3;Vegetarian
Male;42;South Korea;104312.44;3;
Female;41;New Caledonia;133740.24;5;Fish Allergies
Genderfluid;58;Peru;141235.65;5;Vegetarian
Male;88;Russia;147668.32;5;
Male;77;France;83879.17;4;Vegan
Female;63;Brazil;24756.00;5;FODMAP
Male;21;Vietnam;88085.83;3;FODMAP
Female;62;Pakistan;147236.26;5;Fish Allergies
Female;31;France;111896.06;4;Lactose free
Male;66;Estonia;38155.59;5;
Female;52;Germany;97080.83;4;
Male;32;Portugal;79365.35;4;
Genderqueer;21;Japan;126809.57;3;Vegan
Male;86;China;139039.46;2;Vegan
Male;25;China;104373.06;5;Nut Allergies
Male;49;Armenia;118020.45;5;Vegan
Female;81;Thailand;36484.30;1;Fish Allergies
Male;47;Cuba;147433.08;5;FODMAP
Female;79;Malawi;125250.57;4;Vegan
Male;65;China;128590.18;0;Nut Allergies
Female;81;Mongolia;37320.96;3;Nut Allergies
Non-binary;74;France;102070.60;1;Vegetarian
Male;72;China;138077.97;1;Paleo
Genderqueer;33;Colombia;28566.21;0;Ketogenic
Female;35;South Korea;81708.75;3;Ketogenic
Male;81;Palau;112078.95;2;Nut Allergies
Male;20;Vietnam;109466.77;1;
Male;45;South Korea;111811.92;2;
Male;66;Portugal;145423.53;0;
Female;26;China;109726.17;3;Vegetarian
Male;25;Brazil;93904.82;4;Nut Allergies
Female;86;Indonesia;115934.97;0;Vegan
Female;76;Poland;96642.22;1;
Female;69;Russia;111549.23;3;
Female;78;Kazakhstan;141604.79;2;Ketogenic
Female;25;Croatia;36321.27;0;Nut Allergies
Female;88;Brazil;93125.28;4;Nut Allergies
Male;34;China;130633.56;5;
Female;35;Portugal;106642.31;5;Fish Allergies
Female;22;Brazil;142451.15;2;
Female;28;South Sudan;73903.41;5;Paleo
Female;82;Sweden;123685.07;4;
Male;41;Sweden;95091.15;5;Paleo
Male;25;Russia;74193.18;5;FODMAP
Bigender;59;Democratic Republic of the Congo;148813.86;3;
Male;53;Yemen;106486.19;5;FODMAP
Genderqueer;46;China;132258.36;5;
Female;73;China;79101.08;1;Fish Allergies
Agender;33;Zambia;112823.78;4;Nut Allergies
Female;89;Ukraine;60375.83;3;FODMAP
Female;44;Canada;72512.12;4;Nut Allergies
Female;27;Philippines;29980.51;5;
Female;77;China;59982.74;2;Paleo
Male;70;Indonesia;94864.27;1;
Male;23;Poland;87641.21;2;Lactose free
Male;25;Botswana;125560.51;1;
Male;31;Madagascar;126704.67;3;Fish Allergies
Male;46;France;47337.49;3;Nut Allergies
Female;70;China;36467.51;2;Gluten free
Genderqueer;41;Zimbabwe;33529.73;5;FODMAP
Female;49;China;36044.84;4;FODMAP
Male;79;Costa Rica;41174.60;3;Ketogenic
Polygender;19;Canada;39609.31;5;
Male;45;Belarus;108420.35;5;Vegan
Female;87;Sweden;24906.87;2;Paleo
Male;90;Croatia;63969.23;4;Vegetarian
Non-binary;52;United States;140728.23;3;Vegetarian
Female;58;Thailand;129975.01;0;Ketogenic
Non-binary;81;China;112917.33;4;
Female;43;Palestinian Territory;120864.22;0;
Male;58;Burkina Faso;134867.18;4;
Female;84;China;22889.99;3;
Genderfluid;30;Ukraine;100004.52;4;Vegetarian
Female;38;Poland;110807.62;2;
Female;64;China;104398.02;3;Vegan
Female;23;Russia;20499.70;5;Vegan
Male;65;Thailand;61109.17;3;
Male;38;Philippines;27039.24;3;
Female;74;Netherlands;45746.73;2;
Male;63;Mongolia;93214.79;5;
Male;64;Sweden;144150.75;4;Ketogenic
Male;65;China;80605.43;4;
Polygender;65;Russia;79376.21;1;
Female;39;Palestinian Territory;71930.57;1;
Female;77;Portugal;71354.04;2;FODMAP
Male;77;Ukraine;114338.24;4;Fish Allergies
Female;41;China;20384.84;1;
Male;80;China;99611.41;5;
Genderqueer;86;Indonesia;115291.86;4;Gluten free
Non-binary;23;Russia;125281.12;0;
Male;29;Sweden;53238.31;5;FODMAP
Male;77;China;96867.19;5;Lactose free
Male;54;Netherlands;70597.41;0;Lactose free
Male;27;Sweden;59789.43;2;
Male;20;Russia;32565.00;4;Gluten free
Male;85;Tanzania;54818.87;4;
Male;60;China;99890.06;0;FODMAP
Bigender;90;Somalia;78230.56;1;
Female;57;Russia;71942.62;0;
Female;33;Poland;58809.64;2;
Female;37;Philippines;146479.35;5;Gluten free
Female;39;China;71651.41;5;
Male;18;Mali;83488.37;4;Vegetarian
Male;57;China;31964.63;1;Nut Allergies
Agender;73;France;48269.82;1;Vegan
Male;35;Brazil;108562.49;3;FODMAP
Polygender;27;Kyrgyzstan;54790.76;2;
Female;44;Iran;104352.05;2;Vegetarian
Male;60;Nicaragua;32488.70;4;Vegetarian
Male;20;France;118950.31;4;Gluten free
Male;20;Belarus;103225.69;1;
Female;75;Honduras;105576.06;5;
Female;41;Portugal;115320.75;2;
Female;81;Serbia;102054.47;1;Vegetarian
Genderqueer;50;Portugal;102184.56;4;Gluten free
Female;68;Togo;118918.62;0;Vegetarian
Female;79;China;79848.89;2;
Female;52;China;80290.38;1;
Female;75;Russia;24337.60;5;Nut Allergies
Male;53;Sweden;115867.18;0;
Female;48;Canada;134842.40;5;Vegan
Female;84;France;72525.33;1;Nut Allergies
Male;43;France;62119.37;2;
Male;74;Norway;136478.67;0;Vegetarian
Female;19;Colombia;121516.20;3;Ketogenic
Genderfluid;33;Indonesia;145099.89;1;Nut Allergies
Female;18;China;37780.98;3;
Polygender;57;Czech Republic;80681.96;3;Ketogenic
Male;43;Guatemala;65700.94;0;
Female;35;Argentina;38552.38;3;
Female;38;Venezuela;59429.26;4;
Female;44;Thailand;128166.97;5;
Female;85;Mexico;26217.17;2;Lactose free
Male;87;Afghanistan;110935.89;5;Vegetarian
Female;26;Turkmenistan;28962.90;5;Nut Allergies
Male;47;Greece;105552.43;0;
Agender;57;Indonesia;142518.36;5;
Female;31;China;74598.44;2;
Female;41;Cyprus;119752.61;5;
Male;67;France;125621.70;1;FODMAP
Female;46;Greece;58132.95;4;
Female;51;Bangladesh;111657.46;5;
Male;49;Brazil;58014.08;4;Paleo
Male;52;Cape Verde;33713.90;2;
Female;29;Brazil;58488.17;1;
Male;58;China;117138.03;1;
Male;30;Argentina;109605.44;3;
Female;86;Netherlands;100218.71;3;
Male;78;Bhutan;136058.52;0;
Female;38;Germany;88445.63;2;Ketogenic
Female;64;France;121245.49;0;Vegetarian
Female;32;Brazil;143784.26;1;FODMAP
Bigender;58;Indonesia;79555.36;5;
Male;61;United States;42147.48;4;Paleo
Female;87;Poland;43462.60;1;
Male;38;China;133904.91;5;Gluten free
Female;60;Nigeria;44186.70;0;Vegan
Male;49;United Kingdom;22626.84;1;
Female;31;Philippines;51727.13;1;Paleo
Genderfluid;80;Madagascar;40989.86;5;
Female;41;Brazil;40718.97;3;Paleo
Female;75;France;21478.33;5;Paleo
Female;62;Russia;142612.37;5;
Male;45;Russia;43525.66;2;
Female;75;Macedonia;82744.03;5;Fish Allergies
Non-binary;80;Chile;78176.68;2;
Male;22;Indonesia;41277.20;3;Ketogenic
Male;39;Portugal;136787.05;1;Vegetarian
Male;61;Iran;149542.03;5;
Male;23;Morocco;108204.74;1;
Genderqueer;24;China;52997.80;2;Lactose free
Female;55;Argentina;144981.96;1;Lactose free
Female;51;Poland;146416.84;4;FODMAP
Female;85;China;25128.74;4;
Male;31;China;106577.94;1;Vegan
Female;32;China;62325.60;2;Paleo
Male;62;Indonesia;75220.44;1;
Male;87;Argentina;34459.25;2;
Agender;83;Indonesia;30537.14;0;Nut Allergies
Male;90;Indonesia;94627.43;3;Paleo
Male;49;Philippines;40894.84;5;
Female;83;Portugal;91331.41;5;
Female;87;Austria;110844.58;3;
Male;59;Indonesia;46616.41;1;
Male;61;Philippines;116102.30;0;
Male;45;Argentina;20305.21;4;Ketogenic
Non-binary;82;Russia;73129.16;2;
Genderqueer;44;Poland;97724.77;3;Gluten free
Female;18;Czech Republic;127502.73;2;
Male;41;Croatia;65686.58;5;Nut Allergies
Female;53;China;89542.57;0;Paleo
Male;30;Canada;126978.22;4;
Female;65;China;136667.49;0;
Male;30;Russia;124667.15;2;
Female;32;China;44281.70;5;
Male;34;Serbia;49566.46;0;
Female;39;Indonesia;80700.59;0;Ketogenic
Female;27;Costa Rica;61173.67;1;Fish Allergies
Female;59;Nigeria;66506.22;3;Fish Allergies
Male;50;China;54314.70;3;Paleo
Male;72;Brazil;92056.57;4;
Genderqueer;76;Macedonia;89595.38;3;
Male;18;Mexico;21822.55;0;Gluten free
Male;54;Togo;149599.83;1;
Female;60;Russia;35310.39;4;Nut Allergies
Male;56;Colombia;99789.74;5;Vegan
Female;50;Uganda;41237.84;4;Ketogenic
Female;30;Portugal;40973.68;3;
Male;88;France;113953.78;3;
Male;37;Argentina;123917.61;1;Paleo
Female;61;Poland;113868.79;0;FODMAP
Female;47;Macedonia;38045.38;3;FODMAP
Male;52;Serbia;55185.82;4;Vegetarian
Male;46;Indonesia;41654.18;5;
Male;82;China;62068.34;1;
Male;42;China;53664.12;0;
Female;27;Palestinian Territory;64798.62;2;
Female;59;Canada;139571.84;4;Nut Allergies
Female;72;Italy;48656.69;5;
Female;55;France;57581.32;4;
Female;66;Indonesia;25369.74;3;
Male;18;China;116515.46;3;
Non-binary;69;United States;52692.96;5;Vegetarian
Female;67;Nigeria;75587.66;1;FODMAP
Female;31;Tunisia;86643.72;3;Lactose free
Male;83;Azerbaijan;54979.15;3;
Female;43;Indonesia;70120.93;3;
Male;62;Indonesia;20193.57;0;
Male;25;Chile;36561.65;2;
Male;30;Tanzania;57316.71;4;
Female;42;Tunisia;41733.17;0;
Female;49;Philippines;142711.74;5;
Male;88;Peru;22907.63;3;Vegetarian
Female;61;Poland;92725.35;0;Fish Allergies
Female;68;Sweden;125955.07;1;
Male;66;Ukraine;85617.65;2;Gluten free
Male;40;Poland;67046.39;0;Ketogenic
Male;23;China;110299.67;2;
Genderqueer;36;Philippines;71218.73;1;
Female;31;Czech Republic;29993.54;2;
Male;32;United States;81978.43;0;
Female;28;Brazil;118295.26;0;Gluten free
Male;78;Indonesia;149147.30;2;
Male;65;Tunisia;23241.45;5;Fish Allergies
Male;44;Czech Republic;41277.75;0;Lactose free
Male;23;Chile;40573.58;0;
Non-binary;88;Japan;39068.67;2;
Male;31;China;77907.79;4;Ketogenic
Male;79;Croatia;46426.68;4;Ketogenic
Female;55;Bolivia;133552.69;4;Ketogenic
Female;74;Poland;104232.62;1;
Female;28;United States;80313.65;3;Nut Allergies
Female;81;United States;114925.10;4;Paleo
Female;55;Japan;124655.15;0;
Non-binary;40;Indonesia;35949.99;4;
Female;65;Mexico;37258.14;5;Vegan
Male;63;Panama;103358.00;0;Paleo
Male;60;China;135595.29;0;
Male;76;China;93892.17;2;FODMAP
Male;77;France;88433.29;4;
Male;86;Greece;103043.33;5;
Female;81;Portugal;143055.61;3;
Female;78;Russia;50277.46;0;
Female;43;China;79905.27;0;
Bigender;46;Indonesia;65046.21;0;
Female;30;Greece;42883.45;3;Gluten free
Male;46;Indonesia;79405.93;1;Gluten free
Female;65;El Salvador;111137.22;2;FODMAP
Female;27;China;76200.99;4;
Male;43;Latvia;147271.34;5;
Male;33;China;124819.50;5;
Female;31;Russia;29174.56;3;Paleo
Polygender;27;China;74956.18;2;FODMAP
Male;53;Philippines;101237.55;0;Gluten free
Female;75;Indonesia;88862.78;5;
Female;62;Indonesia;140504.40;3;Paleo
Female;73;China;128260.90;0;Vegetarian
Female;55;Argentina;41976.70;4;
Female;75;China;128764.81;0;
Female;19;Ecuador;70548.93;2;Fish Allergies
Female;70;China;126786.13;1;
Genderfluid;27;China;48279.44;3;Nut Allergies
Male;53;Indonesia;147581.73;5;Vegetarian
Male;38;Kazakhstan;41989.43;0;Ketogenic
Female;58;Indonesia;21490.67;4;
Female;36;Dominican Republic;85556.47;2;Vegan
Female;89;Croatia;81631.18;0;
Bigender;38;China;56867.33;0;Vegan
Female;86;Canada;120441.56;3;Lactose free
Female;76;Poland;78209.95;0;Paleo
Female;41;Philippines;72036.09;1;Nut Allergies
Male;64;Bosnia and Herzegovina;36810.28;3;Paleo
Male;37;Costa Rica;101056.58;0;Gluten free
Agender;89;Madagascar;137639.12;4;Gluten free
Male;70;China;107917.55;4;Nut Allergies
Female;33;Nigeria;146223.42;5;
Male;76;Portugal;119794.98;0;Vegetarian
Female;76;China;98441.63;3;Vegan
Female;37;China;75873.80;3;Fish Allergies
Female;50;Spain;50948.65;1;
Female;21;Sweden;78842.00;0;Gluten free
Male;27;Egypt;61466.21;5;
Male;80;Bosnia and Herzegovina;23920.40;1;Vegan
Male;60;China;20266.59;5;
Female;65;Portugal;49101.06;2;Vegetarian
Female;66;Portugal;107421.22;3;Vegetarian
Male;55;Dominican Republic;121204.37;2;Ketogenic
Female;80;Indonesia;132515.02;1;
Female;26;Canada;79191.85;0;Vegetarian
Male;35;Ukraine;101318.43;4;Gluten free
Male;40;Philippines;131272.69;0;Ketogenic
Male;27;Philippines;100682.32;4;Lactose free
Male;42;Serbia;129057.18;5;Fish Allergies
Female;25;Indonesia;42454.14;3;
Female;47;China;119588.28;1;
Female;60;China;73896.02;0;Fish Allergies
Female;47;China;131034.36;2;
Female;30;France;46057.59;0;
Female;89;Argentina;80809.53;2;
Female;79;China;79507.84;5;
Male;77;China;102704.05;4;
Female;72;Indonesia;20282.71;3;
Male;25;Indonesia;113938.33;2;Fish Allergies
Male;60;United States;85862.29;4;Vegetarian
Female;38;Peru;116840.90;4;
Female;24;Russia;47818.40;5;Nut Allergies
Male;81;Bahamas;135769.44;1;
Male;77;China;54497.27;3;Vegetarian
Male;32;China;98869.95;2;
Female;55;Poland;113624.26;0;Paleo
Genderqueer;72;Finland;98088.26;2;
Female;78;France;25365.67;1;
Male;61;Philippines;103358.19;0;
Female;88;Indonesia;95437.51;3;Fish Allergies
Male;47;Philippines;74443.49;4;
Female;19;Poland;74716.55;5;
Female;39;Sweden;124970.83;3;FODMAP
Male;81;Estonia;117310.07;2;
Male;46;Argentina;46672.10;1;FODMAP
Male;59;Russia;127048.25;3;Nut Allergies
Male;70;Finland;30897.92;3;Paleo
Male;62;Hong Kong;121395.41;5;FODMAP
Male;26;China;48977.67;4;
Male;81;Portugal;100767.00;5;Paleo
Male;40;Zimbabwe;88905.35;3;Paleo
Female;27;Brazil;110053.11;1;Vegetarian
Female;87;France;89244.51;3;
Female;27;Russia;147107.65;3;
Polygender;35;Peru;130521.07;0;
Female;30;Russia;53893.11;5;
Female;64;Sweden;56071.21;3;
Female;64;Croatia;92294.36;3;Lactose free
Female;89;China;148563.99;4;Paleo
Female;38;Indonesia;39042.80;1;
Female;89;Philippines;30562.01;0;Vegetarian
Female;71;China;34552.52;1;Vegan
Female;88;Afghanistan;88125.85;4;
Male;18;Malaysia;95943.10;3;
Female;79;Philippines;47746.56;0;
Female;60;Czech Republic;109232.39;5;Gluten free
Male;89;Greece;137409.54;2;
Male;40;China;120271.73;2;
Female;82;Thailand;34815.01;0;
Genderqueer;25;Indonesia;34013.75;1;
Female;85;Mongolia;119385.70;1;Vegan
Female;87;Indonesia;34787.62;0;
Female;24;Poland;61919.02;5;
Male;46;China;35631.45;4;FODMAP
Female;64;China;41171.64;3;FODMAP
Female;38;Germany;119363.59;4;
Non-binary;28;South Korea;145145.68;0;Vegetarian
Male;18;Indonesia;107478.39;4;Vegan
Female;51;China;35904.67;0;Gluten free
Male;57;China;101453.77;2;
Non-binary;35;China;32072.93;2;Vegetarian
Female;90;Argentina;92484.08;2;Fish Allergies
Female;72;Indonesia;45660.11;0;Gluten free
Female;43;Russia;40299.85;3;Nut Allergies
Female;21;Gabon;112230.21;0;
Male;90;Brazil;46691.99;2;
Female;79;Croatia;26100.66;5;Lactose free
Female;23;United States;88104.38;1;
Female;31;Belarus;121487.25;0;
Female;66;Brazil;123798.41;5;
Male;28;Russia;86168.16;4;Gluten free
Genderfluid;39;Brazil;76361.31;2;Fish Allergies
Male;71;Russia;22578.34;2;Vegan
Female;83;France;122820.56;0;
Female;50;Indonesia;99981.83;1;
Male;36;Russia;128403.96;0;
Male;86;Sweden;48493.58;4;
Female;52;China;129513.69;4;Gluten free
Female;40;Hungary;28563.17;1;
Female;55;Saudi Arabia;114397.64;2;
Male;44;Portugal;113486.81;4;Ketogenic
Male;73;Togo;118041.00;5;FODMAP
Female;63;Russia;92997.54;5;FODMAP
Male;47;Portugal;38920.24;0;Vegetarian
Female;75;Brazil;139471.54;1;
Female;62;China;118606.12;0;Lactose free
Female;69;France;85544.17;3;
Female;80;Canada;77520.18;4;Vegan
Female;35;China;28717.67;4;Gluten free
Genderfluid;20;Colombia;103199.61;1;
Female;70;Colombia;61097.58;4;
Female;70;China;61750.25;2;
Female;43;Russia;22908.22;4;Paleo
Female;31;Indonesia;124900.93;5;Fish Allergies
Female;26;Russia;136583.88;4;
Male;48;France;104892.62;2;
Female;21;China;42081.64;2;Vegetarian
Male;42;Czech Republic;90956.09;5;
Polygender;26;Bangladesh;62323.34;5;Ketogenic
Male;81;Georgia;29854.25;0;Ketogenic
Female;19;Argentina;94853.55;2;
Genderqueer;57;Macedonia;135746.91;1;
Female;62;Mongolia;103468.98;1;Nut Allergies
Female;78;Russia;108329.60;5;Nut Allergies
Female;45;Vietnam;114749.49;0;Lactose free
Male;83;Azerbaijan;85652.46;5;
Female;37;United Kingdom;35246.71;0;Nut Allergies
Non-binary;76;Greece;101275.42;1;
Male;34;Indonesia;31082.06;4;
Male;51;France;32366.18;4;Vegetarian
Male;74;Sweden;133138.66;4;Lactose free
Female;43;Argentina;55744.22;4;
Non-binary;80;Norway;133662.87;0;
Male;29;Philippines;62206.52;4;
Female;90;Indonesia;70408.18;0;Vegetarian
Male;54;Philippines;31962.34;2;Paleo
Male;42;Portugal;42976.37;4;Ketogenic
Female;19;China;37939.68;0;Vegetarian
Female;86;Benin;48260.52;4;
Female;28;Madagascar;49726.87;5;
Female;73;Indonesia;72333.28;0;
Male;19;Czech Republic;73838.09;2;FODMAP
Male;86;Ukraine;78135.36;3;
Female;85;China;20304.79;5;Lactose free
Bigender;36;Canada;87462.27;1;
Male;60;Indonesia;132422.13;5;
Male;73;China;105258.88;3;
Female;45;Paraguay;139153.21;3;Gluten free
Male;18;China;68616.17;5;
Female;90;Colombia;93734.73;4;Vegan
Female;43;Japan;122751.29;3;FODMAP
Male;89;Syria;122892.70;0;Lactose free
Male;67;Guadeloupe;76728.42;5;
Bigender;85;Indonesia;114328.68;4;
Male;41;Russia;143675.55;4;
Male;47;Indonesia;70427.07;1;Vegan
Female;42;Philippines;119677.26;3;Vegetarian
Male;74;Mexico;82750.81;3;
Male;18;Bulgaria;115894.17;2;Ketogenic
Male;87;Indonesia;108320.86;3;Vegetarian
Male;22;Croatia;26800.81;0;Lactose free
Female;49;Japan;91447.43;1;Vegetarian
Genderfluid;55;China;140891.16;0;Lactose free
Male;80;China;56609.87;4;
Genderfluid;68;Brazil;132488.93;2;Gluten free
Female;52;France;69403.39;5;
Female;26;United States;99954.80;5;
Bigender;73;Indonesia;116870.31;1;Lactose free
Male;34;Thailand;53655.46;2;Paleo
Female;78;Venezuela;143995.33;2;FODMAP
Male;21;France;59064.09;2;
Female;37;Sweden;113283.43;2;
Male;52;France;37276.93;3;Fish Allergies
Male;82;Brazil;30415.03;4;Vegetarian
Male;79;China;77067.58;4;
Non-binary;74;China;70167.20;0;
Male;35;Indonesia;81846.21;2;FODMAP
Male;19;Croatia;140453.93;4;
Male;22;Canada;51386.75;5;
Male;56;China;124560.08;3;Gluten free
Male;20;China;60474.53;4;Lactose free
Female;56;South Africa;149048.56;1;
Female;59;Russia;105785.99;4;
Female;19;Spain;97915.13;2;Vegetarian
Female;86;Vietnam;72330.09;2;Gluten free
Female;61;Japan;89921.43;2;Nut Allergies
Female;22;Colombia;59076.10;0;
Female;47;Wallis and Futuna;135966.36;1;
Female;30;Philippines;89574.23;3;
Genderqueer;88;Chile;95676.63;1;FODMAP
Male;26;Philippines;116835.81;4;
Male;51;Indonesia;85113.47;4;
Male;61;Botswana;33069.98;0;FODMAP
Male;70;Indonesia;129870.21;2;Vegetarian
Female;33;China;47937.40;4;Nut Allergies
Male;87;Philippines;140916.74;5;
Female;38;Portugal;33150.77;2;
Male;27;China;54561.61;5;Paleo
Female;19;Russia;123580.51;2;Fish Allergies
Female;35;United States;106010.30;4;Gluten free
Genderfluid;61;France;43248.43;2;Paleo
Male;35;China;52797.59;4;Ketogenic
Male;21;Sierra Leone;52715.21;2;Lactose free
Female;51;Kazakhstan;53343.11;1;
Male;72;Argentina;128090.70;1;
Female;53;Iran;117096.36;5;
Female;61;Czech Republic;33494.37;3;
Male;55;France;135771.84;0;
Female;68;Philippines;119345.96;0;
Female;60;China;37693.25;3;
Male;28;Poland;115463.39;2;Paleo
Female;47;Ukraine;136119.34;5;
Male;62;Philippines;42148.14;2;Vegetarian
Male;21;China;21921.16;3;Vegetarian
Female;90;Thailand;125152.26;1;
Female;56;Russia;55140.83;5;FODMAP
Female;84;China;83097.67;1;Lactose free
Male;46;Philippines;73922.77;1;Vegan
Male;74;Russia;130541.09;4;Vegan
Female;54;United States;101397.82;5;Nut Allergies
Male;82;Honduras;97513.47;3;
Female;48;Finland;120484.12;0;Vegetarian
Female;58;Philippines;32825.81;0;
Male;24;Panama;142337.16;2;Vegetarian
Genderqueer;20;China;97404.85;5;Nut Allergies
Female;28;United States;43436.52;2;
Female;48;Indonesia;54023.12;4;
Female;90;Vietnam;148461.56;4;FODMAP
Male;68;Brazil;46876.95;4;
Female;19;France;136195.33;1;
Female;48;China;76594.40;2;Ketogenic
Female;83;Indonesia;58037.69;1;
Female;20;El Salvador;118916.64;4;Vegetarian
Female;76;Thailand;92945.54;2;
Female;43;Poland;122303.34;4;
Male;49;Greece;142896.00;2;
Female;54;Brazil;102658.61;0;Vegan
Female;25;China;111474.77;0;
Male;67;China;124509.99;0;
Male;50;Netherlands;107970.19;0;Paleo
Female;66;Indonesia;68550.52;0;
Male;39;China;44249.10;5;Vegetarian
Male;59;Canada;67262.03;3;Vegetarian
Male;63;China;138632.12;0;
Female;51;Sweden;34778.74;4;
Male;52;Libya;139803.22;2;
Male;38;Venezuela;120332.72;3;Vegetarian
Polygender;19;Portugal;105251.53;3;
Male;80;Iran;89437.40;2;
Male;48;Chad;64783.23;3;Ketogenic
Male;84;Brazil;70424.39;5;
Male;18;France;65716.96;1;
Female;60;Russia;48123.62;5;
Female;46;China;67416.84;1;Nut Allergies
Female;59;Costa Rica;87544.16;4;
Female;18;United Kingdom;60131.81;2;Fish Allergies
Female;33;Japan;73846.71;1;
Female;80;France;87430.83;0;Nut Allergies
Female;49;Colombia;109726.79;5;
Female;42;Tajikistan;44619.34;1;
Female;66;Venezuela;75244.96;3;Fish Allergies
Male;61;Indonesia;113315.39;2;
Polygender;30;Russia;49641.71;3;
Male;90;Philippines;148799.89;5;FODMAP
Male;64;Colombia;86458.47;4;Vegetarian
Female;70;China;143090.16;2;Lactose free
Male;21;Indonesia;26927.93;1;
Female;58;Nigeria;83469.51;4;Nut Allergies
